scrape_date,scrape_timestamp,category,sku,title,brand,price,mrp,vsp,availability,product_url,image_url,categories,rating,review_count
2026-02-07,2026-02-07 08:46:31,mobiles,245179,"Apple iPhone 17 (256GB Storage, Black)",Apple,82900,82900,82900,Available,https://www.vijaysales.com/p/P245179/245179/apple-iphone-17-256gb-storage-black,https://vsprod.vijaysales.com/media/catalog/product/i/p/iphone_17_black_pdp_image_position_1__en-in_1.jpg,Electronics > Mobiles and Accessories > Mobiles > iPhones,,
2026-02-07,2026-02-07 08:46:31,mobiles,236654,"Redmi Mobile 14C 5G (6GB RAM, 128GB Storage) | Snapdragon 4 Gen 2 | 5160mAh Battery | 6.88-inch 120Hz Display | Starlight Blue",Redmi,11999,14999,11999,Available,https://www.vijaysales.com/p/P236653/236654/redmi-mobile-14c-5g-6gb-ram-128gb-storage-starlight-blue,https://vsprod.vijaysales.com/media/catalog/product/s/t/starlight_blue_1.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
2026-02-07,2026-02-07 08:46:31,mobiles,244103,"Google Pixel 10 Pro 5G (16GB RAM, 256GB Storage) | Google Tensor G5 | 4870mAh Battery | Smarter with Google Gemini AI | Porcelain",Google,109999,109999,109999,Unavailable,https://www.vijaysales.com/p/P244102/244103/google-pixel-10-pro-5g-16gb-ram-256gb-porcelain,https://vsprod.vijaysales.com/media/catalog/product/p/1/p10_pro_porcelain.jpeg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
2026-02-07,2026-02-07 08:46:31,mobiles,245194,"Apple iPhone 17 Pro (256GB Storage, Silver)",Apple,132490,134900,132490,Available,https://www.vijaysales.com/p/P245195/245194/apple-iphone-17-pro-256gb-silver,https://vsprod.vijaysales.com/media/catalog/product/i/p/iphone_17_pro_silver_pdp_image_position_1__en-in_1.jpg,Electronics > Mobiles and Accessories > Mobiles > iPhones,,
2026-02-07,2026-02-07 08:46:31,mobiles,232293,"Apple iPhone 16 (256GB Storage, Ultramarine)",Apple,69990,79900,69990,Unavailable,https://www.vijaysales.com/p/P232288/232293/apple-iphone-16-256gb-storage-ultramarine,https://vsprod.vijaysales.com/media/catalog/product/2/3/232293-image.jpg,Electronics > Mobiles and Accessories > Mobiles > iPhones,,
2026-02-07,2026-02-07 08:46:31,mobiles,247900,"Oppo Find X9 5G (12GB RAM, 256GB Storage) | MediaTek Dimensity 9500 | 7025mAh Battery | IP69 Water & Dust Resistance | Titanium Grey",Oppo,74999,79999,74999,Available,https://www.vijaysales.com/p/P247899/247900/oppo-find-x9-5g-12gb-ram-256gb-storage-titanium-grey,https://vsprod.vijaysales.com/media/catalog/product/x/9/x9_titanium_grey_2_.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
2026-02-07,2026-02-07 08:46:31,mobiles,244710,"Redmi 15 5G (8GB RAM, 128GB Storage) | Snapdragon 6s Gen 3 | 7000mAh Battery | IP64 Rating | Frosted White",Redmi,16999,17999,16999,Available,https://www.vijaysales.com/p/P244702/244710/redmi-15-5g-8gb-ram-128gb-storage-frosted-white,https://vsprod.vijaysales.com/media/catalog/product/r/e/redmi-15-5g-white_1__1.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
2026-02-07,2026-02-07 08:46:31,mobiles,245051,"Oppo F31 5G (8GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | 7000mAh Battery | Rated IP69, IP68, IP66 | Cloud Green",Oppo,26999,27999,26999,Available,https://www.vijaysales.com/p/P245050/245051/oppo-f31-5g-8gb-128gb-cloud-green,https://vsprod.vijaysales.com/media/catalog/product/c/l/cloud_green_1_.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
2026-02-07,2026-02-07 08:46:31,mobiles,244098,"Google Pixel 10 5G (12GB RAM, 256GB Storage) | Google Tensor G5 | 4835mAh Battery | Smarter with Google Gemini AI | Obsidian",Google,74999,79999,79999,Available,https://www.vijaysales.com/p/P244098/244098/google-pixel-10-12gb-ram-256gb-storage-obsidian,https://vsprod.vijaysales.com/media/catalog/product/p/1/p10_obsidian.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
2026-02-07,2026-02-07 08:46:31,mobiles,245982,"vivo V60e 5G (8GB RAM, 256GB Storage) | MediaTek Dimensity | 6500mAh Battery | IP68/IP69 Rating | Noble Gold",Vivo,31499,36999,33999,Available,https://www.vijaysales.com/p/P245977/245982/vivo-v60e-5g-8gb-ram-256gb-storage-noble-gold,https://vsprod.vijaysales.com/media/catalog/product/v/i/vivo-v60e-noble-gold_1__1.jpg,Electronics > Mobiles and Accessories > Mobiles > Smartphones,,
