scrape_date,scrape_timestamp,category,product_id,brand,price,mrp,availability,product_url,image_url,rating,discount,main_category,sub_category,screen_size,resolution
2026-02-02,2026-02-02 10:51:36,television,231930,Sansui,8490,17990,Available,https://www.vijaysales.com/p/231930/sansui-led-jsy32nshdf,https://vsprod.vijaysales.com/media/catalog/product/2/3/231930-image.jpg,4,52.81,Television and Entertainment,HD,32,HD Ready
2026-02-02,2026-02-02 10:51:36,television,234496,Sansui,10590,20990,Available,https://www.vijaysales.com/p/234496/sansui-80-cm-32-inches-hd-smart-google-qled-tv-with-dolby-audio-jss32csqled,https://vsprod.vijaysales.com/media/catalog/product/2/3/234496_1_.jpg,5,49.55,Television and Entertainment,HD,32,QLED
2026-02-02,2026-02-02 10:51:36,television,239913,Sony,41800,63900,Available,https://www.vijaysales.com/p/P239913/239913/sony-bravia-2-108-cm-43-inch-4k-ultra-hd-led-google-tv-4k-processor-x1-hdr10-hlg-dolbytm-atmos-chromecast-built-in-k-43s25m2,https://vsprod.vijaysales.com/media/catalog/product/2/3/239913_1_.jpg,4,34.59,Television and Entertainment,4K Ultra HD,43,4K UHD
2026-02-02,2026-02-02 10:51:36,television,239914,Sony,58990,91900,Available,https://www.vijaysales.com/p/P239913/239914/sony-bravia-2-139-cm-55-inch-4k-ultra-hd-led-google-tv-4k-processor-x1-hdr10-hlg-dolbytm-atmos-chromecast-built-in-k-55s25m2,https://vsprod.vijaysales.com/media/catalog/product/2/3/239914_1_.jpg,4,35.81,Television and Entertainment,4K Ultra HD,55,4K UHD
2026-02-02,2026-02-02 10:51:36,television,238219,Sansui,10990,21490,Unavailable,https://www.vijaysales.com/p/238219/sansui-80-cm-32-inch-hd-led-google-tv-hdr-10-hlg-google-voice-assistant-dolby-audio-jswg32gshd,https://vsprod.vijaysales.com/media/catalog/product/2/3/238219_2_.jpg,4,48.86,Television and Entertainment,HD,32,4K UHD
2026-02-02,2026-02-02 10:51:36,television,242146,LG,13490,21490,Available,https://www.vijaysales.com/p/242146/lg-80cm-32-inch-hd-smart-tv-webos-23-a5-gen6-ai-processor-with-ai-brightness-hdr10-hlg-ai-sound-intelligent-voice-recognition-32lr570b6la,https://vsprod.vijaysales.com/media/catalog/product/2/4/242146_1.jpg,5,37.23,Television and Entertainment,HD,32,QLED
2026-02-02,2026-02-02 10:51:36,television,238220,Sansui,16990,34640,Available,https://www.vijaysales.com/p/238220/sansui-108-cm-43-inch-fhd-led-smart-tv-hdr-screen-sharing-arc-coax-dolby-audio-jswg43csfhd,https://vsprod.vijaysales.com/media/catalog/product/7/1/71kgo5nrnrl._sl1500_.jpg,4,50.95,Television and Entertainment,Full HD,43,Full HD
2026-02-02,2026-02-02 10:51:36,television,237494,Sony,61990,91900,Available,https://www.vijaysales.com/p/P237494/237494/sony-bravia-3-108-cm-43-inch-4k-ultra-hd-led-google-tv-hdr10-hlg-dolby-vision-dolby-atmos-built-in-mic-k-43s30,https://vsprod.vijaysales.com/media/catalog/product/2/3/237494_1.jpg,5,32.55,Television and Entertainment,4K Ultra HD,43,4K UHD
2026-02-02,2026-02-02 10:51:36,television,231120,Sony,72800,118900,Available,https://www.vijaysales.com/p/P237494/231120/sony-ultra-hd-4k-tv-55-inch-139-cm-with-dolby-atmos-and-bass-reflex-speaker-k55s30-black,https://vsprod.vijaysales.com/media/catalog/product/2/3/231120-image.jpg,5,38.77,Television and Entertainment,4K Ultra HD,55,4K UHD
2026-02-02,2026-02-02 10:51:36,television,240940,LG,67990,110590,Available,https://www.vijaysales.com/p/240940/lg-139cm-55-inch-4k-qned-miniled-tv-webos-25-a8-ai-processor-4k-gen2-dolby-vision-filmmaker-mode-dolby-atmos-hgig-allm-ai-sound-freesync-amd-google-cast-55qned8xa6a-2025,https://vsprod.vijaysales.com/media/catalog/product/2/4/240940_1_.jpg,5,38.52,Television and Entertainment,4K Ultra HD,55,4K UHD
