[2026-02-06T16:57:53.968+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-06T16:57:54.028+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-06T16:57:52.734016+00:00 [queued]>
[2026-02-06T16:57:54.044+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-06T16:57:52.734016+00:00 [queued]>
[2026-02-06T16:57:54.047+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-06T16:57:54.068+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-06 16:57:52.734016+00:00
[2026-02-06T16:57:54.089+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'manual__2026-02-06T16:57:52.734016+00:00', '--job-id', '15', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmpf6ai897k']
[2026-02-06T16:57:54.093+0000] {standard_task_runner.py:91} INFO - Job 15: Subtask scrape_data
[2026-02-06T16:57:54.093+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1318) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-06T16:57:54.095+0000] {standard_task_runner.py:64} INFO - Started process 1319 to run task
[2026-02-06T16:57:54.213+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data manual__2026-02-06T16:57:52.734016+00:00 [running]> on host e9a5f9d3aaa8
[2026-02-06T16:57:54.346+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-06T16:57:52.734016+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-06T16:57:52.734016+00:00'
[2026-02-06T16:57:54.348+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-06T16:57:54.370+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-06T16:57:54.373+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-06T16:57:54.385+0000] {subprocess.py:86} INFO - Output:
[2026-02-06T16:57:55.693+0000] {subprocess.py:93} INFO - 2026-02-06 16:57:55,693 | INFO | ===== SCRAPING STARTED =====
[2026-02-06T16:57:55.694+0000] {subprocess.py:93} INFO - 2026-02-06 16:57:55,693 | INFO | Starting scrape for category: mobiles
[2026-02-06T16:57:56.492+0000] {subprocess.py:93} INFO - 2026-02-06 16:57:56,492 | INFO | mobiles: Page 1/25
[2026-02-06T16:57:57.045+0000] {subprocess.py:93} INFO - 2026-02-06 16:57:57,045 | INFO | mobiles: Page 2/25
[2026-02-06T16:57:57.755+0000] {subprocess.py:93} INFO - 2026-02-06 16:57:57,754 | INFO | mobiles: Page 3/25
[2026-02-06T16:57:58.448+0000] {subprocess.py:93} INFO - 2026-02-06 16:57:58,447 | INFO | mobiles: Page 4/25
[2026-02-06T16:57:59.106+0000] {subprocess.py:93} INFO - 2026-02-06 16:57:59,106 | INFO | mobiles: Page 5/25
[2026-02-06T16:57:59.747+0000] {subprocess.py:93} INFO - 2026-02-06 16:57:59,746 | INFO | mobiles: Page 6/25
[2026-02-06T16:58:00.510+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:00,509 | INFO | mobiles: Page 7/25
[2026-02-06T16:58:02.429+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:02,429 | INFO | mobiles: Page 8/25
[2026-02-06T16:58:03.090+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:03,090 | INFO | mobiles: Page 9/25
[2026-02-06T16:58:03.711+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:03,710 | INFO | mobiles: Page 10/25
[2026-02-06T16:58:04.430+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:04,430 | INFO | mobiles: Page 11/25
[2026-02-06T16:58:05.344+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:05,344 | INFO | mobiles: Page 12/25
[2026-02-06T16:58:05.976+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:05,975 | INFO | mobiles: Page 13/25
[2026-02-06T16:58:06.598+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:06,598 | INFO | mobiles: Page 14/25
[2026-02-06T16:58:07.207+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:07,207 | INFO | mobiles: Page 15/25
[2026-02-06T16:58:07.883+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:07,883 | INFO | mobiles: Page 16/25
[2026-02-06T16:58:08.496+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:08,495 | INFO | mobiles: Page 17/25
[2026-02-06T16:58:09.096+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:09,095 | INFO | mobiles: Page 18/25
[2026-02-06T16:58:09.736+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:09,735 | INFO | mobiles: Page 19/25
