[2026-02-06T16:58:02.203+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-06T16:58:02.247+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-06T16:58:01.395263+00:00 [queued]>
[2026-02-06T16:58:02.259+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-06T16:58:01.395263+00:00 [queued]>
[2026-02-06T16:58:02.260+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-06T16:58:02.280+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-06 16:58:01.395263+00:00
[2026-02-06T16:58:02.289+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'manual__2026-02-06T16:58:01.395263+00:00', '--job-id', '17', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmphupkz0x5']
[2026-02-06T16:58:02.294+0000] {standard_task_runner.py:91} INFO - Job 17: Subtask scrape_data
[2026-02-06T16:58:02.293+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1324) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-06T16:58:02.296+0000] {standard_task_runner.py:64} INFO - Started process 1325 to run task
[2026-02-06T16:58:02.400+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data manual__2026-02-06T16:58:01.395263+00:00 [running]> on host e9a5f9d3aaa8
[2026-02-06T16:58:02.513+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-06T16:58:01.395263+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-06T16:58:01.395263+00:00'
[2026-02-06T16:58:02.515+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-06T16:58:02.534+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-06T16:58:02.537+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-06T16:58:02.551+0000] {subprocess.py:86} INFO - Output:
[2026-02-06T16:58:03.193+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:03,193 | INFO | ===== SCRAPING STARTED =====
[2026-02-06T16:58:03.194+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:03,193 | INFO | Starting scrape for category: mobiles
[2026-02-06T16:58:03.601+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:03,600 | INFO | mobiles: Page 1/25
[2026-02-06T16:58:04.079+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:04,078 | INFO | mobiles: Page 2/25
[2026-02-06T16:58:04.570+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:04,570 | INFO | mobiles: Page 3/25
[2026-02-06T16:58:05.034+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:05,033 | INFO | mobiles: Page 4/25
[2026-02-06T16:58:05.527+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:05,527 | INFO | mobiles: Page 5/25
[2026-02-06T16:58:06.089+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:06,088 | INFO | mobiles: Page 6/25
[2026-02-06T16:58:06.572+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:06,571 | INFO | mobiles: Page 7/25
[2026-02-06T16:58:07.048+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:07,047 | INFO | mobiles: Page 8/25
[2026-02-06T16:58:07.526+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:07,526 | INFO | mobiles: Page 9/25
[2026-02-06T16:58:07.992+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:07,991 | INFO | mobiles: Page 10/25
[2026-02-06T16:58:08.454+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:08,453 | INFO | mobiles: Page 11/25
[2026-02-06T16:58:08.919+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:08,918 | INFO | mobiles: Page 12/25
[2026-02-06T16:58:09.393+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:09,392 | INFO | mobiles: Page 13/25
[2026-02-06T16:58:09.869+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:09,869 | INFO | mobiles: Page 14/25
[2026-02-06T16:58:10.350+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:10,350 | INFO | mobiles: Page 15/25
[2026-02-06T16:58:10.830+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:10,830 | INFO | mobiles: Page 16/25
[2026-02-06T16:58:11.311+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:11,311 | INFO | mobiles: Page 17/25
[2026-02-06T16:58:11.776+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:11,775 | INFO | mobiles: Page 18/25
[2026-02-06T16:58:12.240+0000] {subprocess.py:93} INFO - 2026-02-06 16:58:12,240 | INFO | mobiles: Page 19/25
