[2026-02-06T16:59:02.429+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-06T16:59:02.462+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-06T16:59:00.822304+00:00 [queued]>
[2026-02-06T16:59:02.474+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-06T16:59:00.822304+00:00 [queued]>
[2026-02-06T16:59:02.482+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-06T16:59:02.514+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-06 16:59:00.822304+00:00
[2026-02-06T16:59:02.546+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'manual__2026-02-06T16:59:00.822304+00:00', '--job-id', '21', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmpb7o8qixh']
[2026-02-06T16:59:02.550+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1346) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-06T16:59:02.551+0000] {standard_task_runner.py:91} INFO - Job 21: Subtask scrape_data
[2026-02-06T16:59:02.552+0000] {standard_task_runner.py:64} INFO - Started process 1347 to run task
[2026-02-06T16:59:02.711+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data manual__2026-02-06T16:59:00.822304+00:00 [running]> on host e9a5f9d3aaa8
[2026-02-06T16:59:02.876+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-06T16:59:00.822304+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-06T16:59:00.822304+00:00'
[2026-02-06T16:59:02.879+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-06T16:59:02.909+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-06T16:59:02.919+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-06T16:59:02.931+0000] {subprocess.py:86} INFO - Output:
[2026-02-06T16:59:03.699+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:03,699 | INFO | ===== SCRAPING STARTED =====
[2026-02-06T16:59:03.700+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:03,699 | INFO | Starting scrape for category: mobiles
[2026-02-06T16:59:10.683+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:10,682 | INFO | mobiles: Page 1/25
[2026-02-06T16:59:11.669+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:11,668 | INFO | mobiles: Page 2/25
[2026-02-06T16:59:12.616+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:12,615 | INFO | mobiles: Page 3/25
[2026-02-06T16:59:13.097+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:13,095 | INFO | mobiles: Page 4/25
[2026-02-06T16:59:13.677+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:13,677 | INFO | mobiles: Page 5/25
[2026-02-06T16:59:14.194+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:14,193 | INFO | mobiles: Page 6/25
[2026-02-06T16:59:14.696+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:14,695 | INFO | mobiles: Page 7/25
[2026-02-06T16:59:15.559+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:15,558 | INFO | mobiles: Page 8/25
[2026-02-06T16:59:16.377+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:16,376 | INFO | mobiles: Page 9/25
[2026-02-06T16:59:17.921+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:17,920 | INFO | mobiles: Page 10/25
[2026-02-06T16:59:19.550+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:19,550 | INFO | mobiles: Page 11/25
[2026-02-06T16:59:23.018+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:23,018 | INFO | mobiles: Page 12/25
[2026-02-06T16:59:23.519+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:23,518 | INFO | mobiles: Page 13/25
[2026-02-06T16:59:25.100+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:25,099 | INFO | mobiles: Page 14/25
[2026-02-06T16:59:27.102+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:27,101 | INFO | mobiles: Page 15/25
[2026-02-06T16:59:30.803+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:30,802 | INFO | mobiles: Page 16/25
[2026-02-06T16:59:31.370+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:31,370 | INFO | mobiles: Page 17/25
[2026-02-06T16:59:31.949+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:31,949 | INFO | mobiles: Page 18/25
[2026-02-06T16:59:32.501+0000] {subprocess.py:93} INFO - 2026-02-06 16:59:32,500 | INFO | mobiles: Page 19/25
