[2026-02-06T17:32:00.978+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-06T17:32:01.179+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-06T17:31:58.060702+00:00 [queued]>
[2026-02-06T17:32:01.193+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-06T17:31:58.060702+00:00 [queued]>
[2026-02-06T17:32:01.195+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-06T17:32:01.252+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-06 17:31:58.060702+00:00
[2026-02-06T17:32:01.329+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=218) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-06T17:32:01.307+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'manual__2026-02-06T17:31:58.060702+00:00', '--job-id', '34', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmpyeq6m1wm']
[2026-02-06T17:32:01.353+0000] {standard_task_runner.py:91} INFO - Job 34: Subtask scrape_data
[2026-02-06T17:32:01.352+0000] {standard_task_runner.py:64} INFO - Started process 219 to run task
[2026-02-06T17:32:01.989+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data manual__2026-02-06T17:31:58.060702+00:00 [running]> on host 98d950a68588
[2026-02-06T17:32:02.303+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-06T17:31:58.060702+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-06T17:31:58.060702+00:00'
[2026-02-06T17:32:02.308+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-06T17:32:02.560+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-06T17:32:02.570+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-06T17:32:02.615+0000] {subprocess.py:86} INFO - Output:
[2026-02-06T17:32:04.310+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:04,310 | INFO | ===== SCRAPING STARTED =====
[2026-02-06T17:32:04.311+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:04,310 | INFO | Starting scrape for category: mobiles
[2026-02-06T17:32:05.133+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:05,133 | INFO | mobiles: Page 1/25
[2026-02-06T17:32:05.667+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:05,667 | INFO | mobiles: Page 2/25
[2026-02-06T17:32:06.523+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:06,522 | INFO | mobiles: Page 3/25
[2026-02-06T17:32:07.391+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:07,390 | INFO | mobiles: Page 4/25
[2026-02-06T17:32:08.233+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:08,232 | INFO | mobiles: Page 5/25
[2026-02-06T17:32:08.996+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:08,995 | INFO | mobiles: Page 6/25
[2026-02-06T17:32:09.869+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:09,868 | INFO | mobiles: Page 7/25
[2026-02-06T17:32:10.761+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:10,761 | INFO | mobiles: Page 8/25
[2026-02-06T17:32:11.424+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:11,424 | INFO | mobiles: Page 9/25
[2026-02-06T17:32:12.185+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:12,185 | INFO | mobiles: Page 10/25
[2026-02-06T17:32:13.407+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:13,406 | INFO | mobiles: Page 11/25
[2026-02-06T17:32:14.124+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:14,123 | INFO | mobiles: Page 12/25
[2026-02-06T17:32:15.069+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:15,068 | INFO | mobiles: Page 13/25
[2026-02-06T17:32:17.005+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:17,004 | INFO | mobiles: Page 14/25
[2026-02-06T17:32:18.905+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:18,904 | INFO | mobiles: Page 15/25
[2026-02-06T17:32:19.564+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:19,564 | INFO | mobiles: Page 16/25
[2026-02-06T17:32:20.228+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:20,228 | INFO | mobiles: Page 17/25
[2026-02-06T17:32:20.952+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:20,951 | INFO | mobiles: Page 18/25
[2026-02-06T17:32:21.834+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:21,833 | INFO | mobiles: Page 19/25
[2026-02-06T17:32:22.761+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:22,760 | INFO | mobiles: Page 20/25
[2026-02-06T17:32:23.580+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:23,579 | INFO | mobiles: Page 21/25
[2026-02-06T17:32:24.340+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:24,340 | INFO | mobiles: Page 22/25
[2026-02-06T17:32:25.026+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:25,025 | INFO | mobiles: Page 23/25
[2026-02-06T17:32:25.760+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:25,759 | INFO | mobiles: Page 24/25
[2026-02-06T17:32:26.547+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:26,546 | INFO | mobiles: Page 25/25
[2026-02-06T17:32:27.302+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:27,301 | INFO | mobiles: Fetching reviews
[2026-02-06T17:32:39.358+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:39,357 | INFO | mobiles: Saved 750 rows to /opt/***/dags/data/raw/mobiles/mobiles_2026-02-06.csv
[2026-02-06T17:32:39.360+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:39,358 | INFO | Starting scrape for category: laptops
[2026-02-06T17:32:39.896+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:39,896 | INFO | laptops: Page 1/14
[2026-02-06T17:32:40.499+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:40,499 | INFO | laptops: Page 2/14
[2026-02-06T17:32:41.668+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:41,667 | INFO | laptops: Page 3/14
[2026-02-06T17:32:42.381+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:42,380 | INFO | laptops: Page 4/14
[2026-02-06T17:32:43.149+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:43,148 | INFO | laptops: Page 5/14
[2026-02-06T17:32:44.044+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:44,043 | INFO | laptops: Page 6/14
[2026-02-06T17:32:44.909+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:44,908 | INFO | laptops: Page 7/14
[2026-02-06T17:32:45.623+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:45,622 | INFO | laptops: Page 8/14
[2026-02-06T17:32:46.241+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:46,241 | INFO | laptops: Page 9/14
[2026-02-06T17:32:46.938+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:46,937 | INFO | laptops: Page 10/14
[2026-02-06T17:32:47.818+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:47,817 | INFO | laptops: Page 11/14
[2026-02-06T17:32:50.546+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:50,546 | INFO | laptops: Page 12/14
[2026-02-06T17:32:51.324+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:51,323 | INFO | laptops: Page 13/14
[2026-02-06T17:32:52.444+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:52,444 | INFO | laptops: Page 14/14
[2026-02-06T17:32:53.407+0000] {subprocess.py:93} INFO - 2026-02-06 17:32:53,406 | INFO | laptops: Fetching reviews
[2026-02-06T17:33:00.703+0000] {subprocess.py:93} INFO - 2026-02-06 17:33:00,703 | INFO | laptops: Saved 420 rows to /opt/***/dags/data/raw/laptops/laptops_2026-02-06.csv
[2026-02-06T17:33:00.705+0000] {subprocess.py:93} INFO - 2026-02-06 17:33:00,704 | INFO | Starting scrape for category: television
[2026-02-06T17:33:01.103+0000] {subprocess.py:93} INFO - 2026-02-06 17:33:01,103 | INFO | television: Page 1/7
[2026-02-06T17:33:01.568+0000] {subprocess.py:93} INFO - 2026-02-06 17:33:01,567 | INFO | television: Page 2/7
[2026-02-06T17:33:02.265+0000] {subprocess.py:93} INFO - 2026-02-06 17:33:02,264 | INFO | television: Page 3/7
