[2026-02-07T05:10:26.182+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-07T05:10:26.328+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T05:10:23.387533+00:00 [queued]>
[2026-02-07T05:10:26.367+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T05:10:23.387533+00:00 [queued]>
[2026-02-07T05:10:26.369+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-07T05:10:26.410+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-07 05:10:23.387533+00:00
[2026-02-07T05:10:26.497+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'manual__2026-02-07T05:10:23.387533+00:00', '--job-id', '45', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmpwo2qhjcz']
[2026-02-07T05:10:26.548+0000] {standard_task_runner.py:91} INFO - Job 45: Subtask scrape_data
[2026-02-07T05:10:26.557+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=486) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-07T05:10:26.560+0000] {standard_task_runner.py:64} INFO - Started process 487 to run task
[2026-02-07T05:10:26.980+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T05:10:23.387533+00:00 [running]> on host 98d950a68588
[2026-02-07T05:10:27.314+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-07T05:10:23.387533+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-07T05:10:23.387533+00:00'
[2026-02-07T05:10:27.316+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-07T05:10:27.375+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-07T05:10:27.377+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-07T05:10:27.400+0000] {subprocess.py:86} INFO - Output:
[2026-02-07T05:10:28.815+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:28,814 | INFO | ===== SCRAPING STARTED =====
[2026-02-07T05:10:28.816+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:28,814 | INFO | Starting scrape for category: mobiles
[2026-02-07T05:10:29.355+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:29,354 | INFO | mobiles: Page 1/25
[2026-02-07T05:10:30.514+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:30,514 | INFO | mobiles: Page 2/25
[2026-02-07T05:10:31.002+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:31,001 | INFO | mobiles: Page 3/25
[2026-02-07T05:10:31.572+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:31,571 | INFO | mobiles: Page 4/25
[2026-02-07T05:10:32.044+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:32,044 | INFO | mobiles: Page 5/25
[2026-02-07T05:10:32.549+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:32,549 | INFO | mobiles: Page 6/25
[2026-02-07T05:10:32.993+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:32,993 | INFO | mobiles: Page 7/25
[2026-02-07T05:10:33.457+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:33,456 | INFO | mobiles: Page 8/25
[2026-02-07T05:10:33.984+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:33,983 | INFO | mobiles: Page 9/25
[2026-02-07T05:10:34.537+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:34,536 | INFO | mobiles: Page 10/25
[2026-02-07T05:10:35.150+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:35,150 | INFO | mobiles: Page 11/25
[2026-02-07T05:10:35.749+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:35,748 | INFO | mobiles: Page 12/25
[2026-02-07T05:10:36.383+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:36,383 | INFO | mobiles: Page 13/25
[2026-02-07T05:10:36.976+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:36,975 | INFO | mobiles: Page 14/25
[2026-02-07T05:10:37.677+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:37,676 | INFO | mobiles: Page 15/25
[2026-02-07T05:10:38.290+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:38,290 | INFO | mobiles: Page 16/25
[2026-02-07T05:10:39.244+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:39,244 | INFO | mobiles: Page 17/25
[2026-02-07T05:10:39.924+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:39,923 | INFO | mobiles: Page 18/25
[2026-02-07T05:10:40.527+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:40,526 | INFO | mobiles: Page 19/25
[2026-02-07T05:10:41.198+0000] {subprocess.py:93} INFO - 2026-02-07 05:10:41,198 | INFO | mobiles: Page 20/25
