[2026-02-07T05:26:20.352+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-07T05:26:20.421+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T05:26:18.340033+00:00 [queued]>
[2026-02-07T05:26:20.448+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T05:26:18.340033+00:00 [queued]>
[2026-02-07T05:26:20.451+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-07T05:26:20.477+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-07 05:26:18.340033+00:00
[2026-02-07T05:26:20.519+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=229) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-07T05:26:20.516+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'manual__2026-02-07T05:26:18.340033+00:00', '--job-id', '52', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmpu9wz3ovp']
[2026-02-07T05:26:20.523+0000] {standard_task_runner.py:64} INFO - Started process 231 to run task
[2026-02-07T05:26:20.523+0000] {standard_task_runner.py:91} INFO - Job 52: Subtask scrape_data
[2026-02-07T05:26:20.704+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T05:26:18.340033+00:00 [running]> on host d9e7bf2ef790
[2026-02-07T05:26:20.930+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-07T05:26:18.340033+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-07T05:26:18.340033+00:00'
[2026-02-07T05:26:20.935+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-07T05:26:21.153+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-07T05:26:21.159+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-07T05:26:21.190+0000] {subprocess.py:86} INFO - Output:
[2026-02-07T05:26:24.467+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:24,467 | INFO | ===== SCRAPING STARTED =====
[2026-02-07T05:26:24.469+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:24,467 | INFO | Starting scrape for category: mobiles
[2026-02-07T05:26:25.953+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:25,952 | INFO | mobiles: Page 1/25
[2026-02-07T05:26:27.130+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:27,129 | INFO | mobiles: Page 2/25
[2026-02-07T05:26:29.461+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:29,460 | INFO | mobiles: Page 3/25
[2026-02-07T05:26:32.734+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:32,733 | INFO | mobiles: Page 4/25
[2026-02-07T05:26:33.843+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:33,843 | INFO | mobiles: Page 5/25
[2026-02-07T05:26:34.721+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:34,720 | INFO | mobiles: Page 6/25
[2026-02-07T05:26:35.754+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:35,753 | INFO | mobiles: Page 7/25
[2026-02-07T05:26:36.541+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:36,541 | INFO | mobiles: Page 8/25
[2026-02-07T05:26:37.725+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:37,724 | INFO | mobiles: Page 9/25
[2026-02-07T05:26:39.159+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:39,158 | INFO | mobiles: Page 10/25
[2026-02-07T05:26:40.073+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:40,073 | INFO | mobiles: Page 11/25
[2026-02-07T05:26:40.728+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:40,727 | INFO | mobiles: Page 12/25
[2026-02-07T05:26:42.194+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:42,194 | INFO | mobiles: Page 13/25
[2026-02-07T05:26:43.279+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:43,279 | INFO | mobiles: Page 14/25
[2026-02-07T05:26:43.973+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:43,972 | INFO | mobiles: Page 15/25
[2026-02-07T05:26:45.954+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:45,954 | INFO | mobiles: Page 16/25
[2026-02-07T05:26:46.603+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:46,603 | INFO | mobiles: Page 17/25
[2026-02-07T05:26:48.418+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:48,417 | INFO | mobiles: Page 18/25
[2026-02-07T05:26:50.201+0000] {subprocess.py:93} INFO - 2026-02-07 05:26:50,200 | INFO | mobiles: Page 19/25
