[2026-02-07T05:40:34.583+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-07T05:40:34.941+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T05:40:30.391707+00:00 [queued]>
[2026-02-07T05:40:34.960+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T05:40:30.391707+00:00 [queued]>
[2026-02-07T05:40:34.962+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-07T05:40:35.002+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-07 05:40:30.391707+00:00
[2026-02-07T05:40:35.034+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'manual__2026-02-07T05:40:30.391707+00:00', '--job-id', '58', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmp8n8i71l4']
[2026-02-07T05:40:35.038+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=218) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-07T05:40:35.040+0000] {standard_task_runner.py:91} INFO - Job 58: Subtask scrape_data
[2026-02-07T05:40:35.041+0000] {standard_task_runner.py:64} INFO - Started process 225 to run task
[2026-02-07T05:40:35.218+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T05:40:30.391707+00:00 [running]> on host 547742345c5a
[2026-02-07T05:40:35.422+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-07T05:40:30.391707+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-07T05:40:30.391707+00:00'
[2026-02-07T05:40:35.425+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-07T05:40:35.642+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-07T05:40:35.649+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-07T05:40:35.693+0000] {subprocess.py:86} INFO - Output:
[2026-02-07T05:40:37.830+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:37,830 | INFO | ===== SCRAPING STARTED =====
[2026-02-07T05:40:37.832+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:37,830 | INFO | Starting scrape for category: mobiles
[2026-02-07T05:40:40.510+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:40,510 | INFO | mobiles: Page 1/25
[2026-02-07T05:40:42.118+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:42,118 | INFO | mobiles: Page 2/25
[2026-02-07T05:40:43.069+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:43,069 | INFO | mobiles: Page 3/25
[2026-02-07T05:40:43.889+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:43,889 | INFO | mobiles: Page 4/25
[2026-02-07T05:40:44.655+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:44,655 | INFO | mobiles: Page 5/25
[2026-02-07T05:40:46.177+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:46,176 | INFO | mobiles: Page 6/25
[2026-02-07T05:40:46.961+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:46,960 | INFO | mobiles: Page 7/25
[2026-02-07T05:40:48.173+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:48,172 | INFO | mobiles: Page 8/25
[2026-02-07T05:40:49.146+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:49,145 | INFO | mobiles: Page 9/25
[2026-02-07T05:40:49.803+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:49,803 | INFO | mobiles: Page 10/25
[2026-02-07T05:40:50.623+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:50,622 | INFO | mobiles: Page 11/25
[2026-02-07T05:40:51.264+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:51,264 | INFO | mobiles: Page 12/25
[2026-02-07T05:40:53.059+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:53,058 | INFO | mobiles: Page 13/25
[2026-02-07T05:40:53.611+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:53,611 | INFO | mobiles: Page 14/25
[2026-02-07T05:40:54.516+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:54,515 | INFO | mobiles: Page 15/25
[2026-02-07T05:40:55.461+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:55,460 | INFO | mobiles: Page 16/25
[2026-02-07T05:40:56.112+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:56,111 | INFO | mobiles: Page 17/25
[2026-02-07T05:40:57.032+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:57,032 | INFO | mobiles: Page 18/25
[2026-02-07T05:40:59.188+0000] {subprocess.py:93} INFO - 2026-02-07 05:40:59,188 | INFO | mobiles: Page 19/25
[2026-02-07T05:41:00.716+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:00,715 | INFO | mobiles: Page 20/25
[2026-02-07T05:41:02.564+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:02,564 | INFO | mobiles: Page 21/25
[2026-02-07T05:41:03.352+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:03,351 | INFO | mobiles: Page 22/25
[2026-02-07T05:41:04.834+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:04,834 | INFO | mobiles: Page 23/25
[2026-02-07T05:41:08.241+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:08,241 | INFO | mobiles: Page 24/25
[2026-02-07T05:41:08.819+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:08,819 | INFO | mobiles: Page 25/25
[2026-02-07T05:41:12.520+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:12,520 | INFO | mobiles: Fetching reviews
[2026-02-07T05:41:40.002+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:40,001 | INFO | mobiles: Saved 750 rows to /opt/***/dags/data/raw/mobiles/mobiles_2026-02-07.csv
[2026-02-07T05:41:40.006+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:40,003 | INFO | Starting scrape for category: laptops
[2026-02-07T05:41:40.228+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:40,227 | INFO | laptops: Page 1/14
[2026-02-07T05:41:42.169+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:42,168 | INFO | laptops: Page 2/14
[2026-02-07T05:41:43.209+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:43,209 | INFO | laptops: Page 3/14
[2026-02-07T05:41:43.717+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:43,716 | INFO | laptops: Page 4/14
[2026-02-07T05:41:44.444+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:44,443 | INFO | laptops: Page 5/14
[2026-02-07T05:41:44.962+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:44,961 | INFO | laptops: Page 6/14
[2026-02-07T05:41:45.466+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:45,465 | INFO | laptops: Page 7/14
[2026-02-07T05:41:46.547+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:46,547 | INFO | laptops: Page 8/14
[2026-02-07T05:41:48.003+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:48,003 | INFO | laptops: Page 9/14
[2026-02-07T05:41:49.038+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:49,038 | INFO | laptops: Page 10/14
[2026-02-07T05:41:50.499+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:50,498 | INFO | laptops: Page 11/14
[2026-02-07T05:41:50.992+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:50,991 | INFO | laptops: Page 12/14
[2026-02-07T05:41:52.830+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:52,829 | INFO | laptops: Page 13/14
[2026-02-07T05:41:54.343+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:54,342 | INFO | laptops: Page 14/14
[2026-02-07T05:41:56.350+0000] {subprocess.py:93} INFO - 2026-02-07 05:41:56,350 | INFO | laptops: Fetching reviews
[2026-02-07T05:42:15.653+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:15,653 | INFO | laptops: Saved 420 rows to /opt/***/dags/data/raw/laptops/laptops_2026-02-07.csv
[2026-02-07T05:42:15.657+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:15,654 | INFO | Starting scrape for category: television
[2026-02-07T05:42:17.229+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:17,228 | INFO | television: Page 1/7
[2026-02-07T05:42:18.414+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:18,413 | INFO | television: Page 2/7
[2026-02-07T05:42:21.805+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:21,805 | INFO | television: Page 3/7
[2026-02-07T05:42:22.536+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:22,536 | INFO | television: Page 4/7
[2026-02-07T05:42:23.043+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:23,043 | INFO | television: Page 5/7
[2026-02-07T05:42:23.565+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:23,565 | INFO | television: Page 6/7
[2026-02-07T05:42:24.303+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:24,303 | INFO | television: Page 7/7
[2026-02-07T05:42:25.045+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:25,045 | INFO | television: Fetching reviews
[2026-02-07T05:42:28.777+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:28,776 | INFO | television: Saved 210 rows to /opt/***/dags/data/raw/tvs/television_2026-02-07.csv
[2026-02-07T05:42:28.778+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:28,777 | INFO | Starting scrape for category: refrigerator
[2026-02-07T05:42:28.991+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:28,991 | INFO | refrigerator: Page 1/6
[2026-02-07T05:42:30.683+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:30,682 | INFO | refrigerator: Page 2/6
[2026-02-07T05:42:31.473+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:31,472 | INFO | refrigerator: Page 3/6
[2026-02-07T05:42:32.258+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:32,258 | INFO | refrigerator: Page 4/6
[2026-02-07T05:42:33.013+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:33,012 | INFO | refrigerator: Page 5/6
[2026-02-07T05:42:34.054+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:34,054 | INFO | refrigerator: Page 6/6
[2026-02-07T05:42:34.535+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:34,534 | INFO | refrigerator: Fetching reviews
[2026-02-07T05:42:47.861+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:47,860 | INFO | refrigerator: Saved 180 rows to /opt/***/dags/data/raw/refrigerators/refrigerator_2026-02-07.csv
[2026-02-07T05:42:47.864+0000] {subprocess.py:93} INFO - 2026-02-07 05:42:47,861 | INFO | ===== SCRAPING FINISHED =====
[2026-02-07T05:42:48.069+0000] {subprocess.py:97} INFO - Command exited with return code 0
[2026-02-07T05:42:48.102+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-02-07T05:42:48.289+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=product_price_pipeline, task_id=scrape_data, run_id=manual__2026-02-07T05:40:30.391707+00:00, execution_date=20260207T054030, start_date=20260207T054034, end_date=20260207T054248
[2026-02-07T05:42:48.414+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2026-02-07T05:42:48.554+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-02-07T05:42:48.559+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
