[2026-02-07T05:58:42.244+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-07T05:58:42.487+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T05:58:38.953445+00:00 [queued]>
[2026-02-07T05:58:42.502+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T05:58:38.953445+00:00 [queued]>
[2026-02-07T05:58:42.503+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-07T05:58:42.525+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-07 05:58:38.953445+00:00
[2026-02-07T05:58:42.560+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'manual__2026-02-07T05:58:38.953445+00:00', '--job-id', '65', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmpr_mot_oz']
[2026-02-07T05:58:42.564+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=252) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-07T05:58:42.566+0000] {standard_task_runner.py:91} INFO - Job 65: Subtask scrape_data
[2026-02-07T05:58:42.566+0000] {standard_task_runner.py:64} INFO - Started process 253 to run task
[2026-02-07T05:58:42.826+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T05:58:38.953445+00:00 [running]> on host 19af76d7baae
[2026-02-07T05:58:43.102+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-07T05:58:38.953445+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-07T05:58:38.953445+00:00'
[2026-02-07T05:58:43.105+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-07T05:58:43.289+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-07T05:58:43.293+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-07T05:58:43.319+0000] {subprocess.py:86} INFO - Output:
[2026-02-07T05:58:45.122+0000] {subprocess.py:93} INFO - 2026-02-07 05:58:45,122 | INFO | ===== SCRAPING STARTED =====
[2026-02-07T05:58:45.123+0000] {subprocess.py:93} INFO - 2026-02-07 05:58:45,122 | INFO | Starting scrape for category: mobiles
[2026-02-07T05:58:47.910+0000] {subprocess.py:93} INFO - 2026-02-07 05:58:47,910 | INFO | mobiles: Page 1/25
[2026-02-07T05:58:51.299+0000] {subprocess.py:93} INFO - 2026-02-07 05:58:51,299 | INFO | mobiles: Page 2/25
[2026-02-07T05:58:52.335+0000] {subprocess.py:93} INFO - 2026-02-07 05:58:52,335 | INFO | mobiles: Page 3/25
[2026-02-07T05:58:53.178+0000] {subprocess.py:93} INFO - 2026-02-07 05:58:53,177 | INFO | mobiles: Page 4/25
[2026-02-07T05:58:53.852+0000] {subprocess.py:93} INFO - 2026-02-07 05:58:53,851 | INFO | mobiles: Page 5/25
[2026-02-07T05:58:55.823+0000] {subprocess.py:93} INFO - 2026-02-07 05:58:55,822 | INFO | mobiles: Page 6/25
[2026-02-07T05:58:57.094+0000] {subprocess.py:93} INFO - 2026-02-07 05:58:57,094 | INFO | mobiles: Page 7/25
[2026-02-07T05:58:58.517+0000] {subprocess.py:93} INFO - 2026-02-07 05:58:58,516 | INFO | mobiles: Page 8/25
[2026-02-07T05:59:00.056+0000] {subprocess.py:93} INFO - 2026-02-07 05:59:00,055 | INFO | mobiles: Page 9/25
[2026-02-07T05:59:01.398+0000] {subprocess.py:93} INFO - 2026-02-07 05:59:01,398 | INFO | mobiles: Page 10/25
[2026-02-07T05:59:02.796+0000] {subprocess.py:93} INFO - 2026-02-07 05:59:02,795 | INFO | mobiles: Page 11/25
[2026-02-07T05:59:03.750+0000] {subprocess.py:93} INFO - 2026-02-07 05:59:03,750 | INFO | mobiles: Page 12/25
[2026-02-07T05:59:04.927+0000] {subprocess.py:93} INFO - 2026-02-07 05:59:04,927 | INFO | mobiles: Page 13/25
[2026-02-07T05:59:05.814+0000] {subprocess.py:93} INFO - 2026-02-07 05:59:05,813 | INFO | mobiles: Page 14/25
[2026-02-07T05:59:06.698+0000] {subprocess.py:93} INFO - 2026-02-07 05:59:06,696 | INFO | mobiles: Page 15/25
[2026-02-07T05:59:07.349+0000] {subprocess.py:93} INFO - 2026-02-07 05:59:07,349 | INFO | mobiles: Page 16/25
[2026-02-07T05:59:08.039+0000] {subprocess.py:93} INFO - 2026-02-07 05:59:08,038 | INFO | mobiles: Page 17/25
[2026-02-07T05:59:08.940+0000] {subprocess.py:93} INFO - 2026-02-07 05:59:08,940 | INFO | mobiles: Page 18/25
[2026-02-07T05:59:09.636+0000] {subprocess.py:93} INFO - 2026-02-07 05:59:09,635 | INFO | mobiles: Page 19/25
