[2026-02-07T06:35:17.157+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-07T06:35:17.514+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T06:35:15.079882+00:00 [queued]>
[2026-02-07T06:35:17.545+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T06:35:15.079882+00:00 [queued]>
[2026-02-07T06:35:17.547+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-07T06:35:17.628+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-07 06:35:15.079882+00:00
[2026-02-07T06:35:17.679+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'manual__2026-02-07T06:35:15.079882+00:00', '--job-id', '76', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmprws_ibhz']
[2026-02-07T06:35:17.687+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=393) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-07T06:35:17.693+0000] {standard_task_runner.py:91} INFO - Job 76: Subtask scrape_data
[2026-02-07T06:35:17.695+0000] {standard_task_runner.py:64} INFO - Started process 395 to run task
[2026-02-07T06:35:17.922+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data manual__2026-02-07T06:35:15.079882+00:00 [running]> on host 19af76d7baae
[2026-02-07T06:35:18.283+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-07T06:35:15.079882+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-07T06:35:15.079882+00:00'
[2026-02-07T06:35:18.286+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-07T06:35:18.419+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-07T06:35:18.433+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-07T06:35:18.540+0000] {subprocess.py:86} INFO - Output:
[2026-02-07T06:35:25.518+0000] {subprocess.py:93} INFO - 2026-02-07 06:35:25,517 | INFO | ===== SCRAPING STARTED =====
[2026-02-07T06:35:25.524+0000] {subprocess.py:93} INFO - 2026-02-07 06:35:25,518 | INFO | Starting scrape for category: mobiles
[2026-02-07T06:35:27.263+0000] {subprocess.py:93} INFO - 2026-02-07 06:35:27,262 | INFO | mobiles: Page 1/25
[2026-02-07T06:35:31.645+0000] {subprocess.py:93} INFO - 2026-02-07 06:35:31,644 | INFO | mobiles: Page 2/25
[2026-02-07T06:35:33.739+0000] {subprocess.py:93} INFO - 2026-02-07 06:35:33,738 | INFO | mobiles: Page 3/25
[2026-02-07T06:35:36.178+0000] {subprocess.py:93} INFO - 2026-02-07 06:35:36,177 | INFO | mobiles: Page 4/25
[2026-02-07T06:35:36.887+0000] {subprocess.py:93} INFO - 2026-02-07 06:35:36,887 | INFO | mobiles: Page 5/25
[2026-02-07T06:35:37.801+0000] {subprocess.py:93} INFO - 2026-02-07 06:35:37,801 | INFO | mobiles: Page 6/25
[2026-02-07T06:35:51.308+0000] {subprocess.py:93} INFO - 2026-02-07 06:35:51,307 | INFO | mobiles: Page 7/25
[2026-02-07T06:35:51.824+0000] {subprocess.py:93} INFO - 2026-02-07 06:35:51,824 | INFO | mobiles: Page 8/25
[2026-02-07T06:35:58.604+0000] {subprocess.py:93} INFO - 2026-02-07 06:35:58,603 | INFO | mobiles: Page 9/25
[2026-02-07T06:36:00.836+0000] {subprocess.py:93} INFO - 2026-02-07 06:36:00,835 | INFO | mobiles: Page 10/25
[2026-02-07T06:36:03.001+0000] {subprocess.py:93} INFO - 2026-02-07 06:36:03,000 | INFO | mobiles: Page 11/25
[2026-02-07T06:36:03.785+0000] {subprocess.py:93} INFO - 2026-02-07 06:36:03,785 | INFO | mobiles: Page 12/25
[2026-02-07T06:36:07.826+0000] {subprocess.py:93} INFO - 2026-02-07 06:36:07,826 | INFO | mobiles: Page 13/25
[2026-02-07T06:36:08.579+0000] {subprocess.py:93} INFO - 2026-02-07 06:36:08,578 | INFO | mobiles: Page 14/25
[2026-02-07T06:36:12.103+0000] {subprocess.py:93} INFO - 2026-02-07 06:36:12,103 | INFO | mobiles: Page 15/25
[2026-02-07T06:36:31.908+0000] {subprocess.py:93} INFO - 2026-02-07 06:36:31,907 | INFO | mobiles: Page 16/25
[2026-02-07T06:36:33.171+0000] {subprocess.py:93} INFO - 2026-02-07 06:36:33,171 | INFO | mobiles: Page 17/25
[2026-02-07T06:36:41.154+0000] {subprocess.py:93} INFO - 2026-02-07 06:36:41,153 | INFO | mobiles: Page 18/25
[2026-02-07T06:36:42.120+0000] {subprocess.py:93} INFO - 2026-02-07 06:36:42,119 | INFO | mobiles: Page 19/25
