[2026-02-10T15:06:00.391+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-10T15:06:00.569+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-10T15:05:58.676835+00:00 [queued]>
[2026-02-10T15:06:00.589+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-10T15:05:58.676835+00:00 [queued]>
[2026-02-10T15:06:00.606+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-10T15:06:00.649+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-10 15:05:58.676835+00:00
[2026-02-10T15:06:00.698+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'manual__2026-02-10T15:05:58.676835+00:00', '--job-id', '96', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmpzu5mhbva']
[2026-02-10T15:06:00.706+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=220) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-10T15:06:00.706+0000] {standard_task_runner.py:91} INFO - Job 96: Subtask scrape_data
[2026-02-10T15:06:00.707+0000] {standard_task_runner.py:64} INFO - Started process 221 to run task
[2026-02-10T15:06:00.882+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data manual__2026-02-10T15:05:58.676835+00:00 [running]> on host 0d4fb0100b45
[2026-02-10T15:06:01.091+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-10T15:05:58.676835+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-10T15:05:58.676835+00:00'
[2026-02-10T15:06:01.097+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-10T15:06:01.174+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-10T15:06:01.184+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-10T15:06:01.221+0000] {subprocess.py:86} INFO - Output:
[2026-02-10T15:06:02.843+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:02,843 | INFO | ===== SCRAPING STARTED =====
[2026-02-10T15:06:02.845+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:02,843 | INFO | Starting scrape for category: mobiles
[2026-02-10T15:06:04.244+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:04,243 | INFO | mobiles: Page 1/25
[2026-02-10T15:06:05.554+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:05,553 | INFO | mobiles: Page 2/25
[2026-02-10T15:06:06.896+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:06,896 | INFO | mobiles: Page 3/25
[2026-02-10T15:06:09.391+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:09,391 | INFO | mobiles: Page 4/25
[2026-02-10T15:06:13.419+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:13,418 | INFO | mobiles: Page 5/25
[2026-02-10T15:06:14.980+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:14,979 | INFO | mobiles: Page 6/25
[2026-02-10T15:06:16.936+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:16,935 | INFO | mobiles: Page 7/25
[2026-02-10T15:06:19.020+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:19,018 | INFO | mobiles: Page 8/25
[2026-02-10T15:06:28.461+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:28,460 | INFO | mobiles: Page 9/25
[2026-02-10T15:06:30.994+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:30,993 | INFO | mobiles: Page 10/25
[2026-02-10T15:06:34.441+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:34,440 | INFO | mobiles: Page 11/25
[2026-02-10T15:06:36.037+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:36,037 | INFO | mobiles: Page 12/25
[2026-02-10T15:06:37.623+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:37,623 | INFO | mobiles: Page 13/25
[2026-02-10T15:06:55.300+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:55,299 | INFO | mobiles: Page 14/25
[2026-02-10T15:06:57.029+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:57,028 | INFO | mobiles: Page 15/25
[2026-02-10T15:06:57.887+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:57,886 | INFO | mobiles: Page 16/25
[2026-02-10T15:06:59.013+0000] {subprocess.py:93} INFO - 2026-02-10 15:06:59,012 | INFO | mobiles: Page 17/25
[2026-02-10T15:07:04.321+0000] {subprocess.py:93} INFO - 2026-02-10 15:07:04,321 | INFO | mobiles: Page 18/25
[2026-02-10T15:07:09.482+0000] {subprocess.py:93} INFO - 2026-02-10 15:07:09,482 | INFO | mobiles: Page 19/25
