[2026-02-11T05:17:38.161+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-11T05:17:38.721+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-11T05:17:33.174575+00:00 [queued]>
[2026-02-11T05:17:38.755+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-11T05:17:33.174575+00:00 [queued]>
[2026-02-11T05:17:38.756+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-11T05:17:38.812+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-11 05:17:33.174575+00:00
[2026-02-11T05:17:38.901+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=249) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-11T05:17:38.908+0000] {standard_task_runner.py:64} INFO - Started process 250 to run task
[2026-02-11T05:17:38.881+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'manual__2026-02-11T05:17:33.174575+00:00', '--job-id', '109', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmp4i7ojujs']
[2026-02-11T05:17:38.920+0000] {standard_task_runner.py:91} INFO - Job 109: Subtask scrape_data
[2026-02-11T05:17:39.694+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data manual__2026-02-11T05:17:33.174575+00:00 [running]> on host 2ca850880e97
[2026-02-11T05:17:41.087+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-11T05:17:33.174575+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-11T05:17:33.174575+00:00'
[2026-02-11T05:17:41.098+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-11T05:17:41.414+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-11T05:17:41.424+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-11T05:17:41.480+0000] {subprocess.py:86} INFO - Output:
[2026-02-11T05:17:44.110+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:44,110 | INFO | ===== SCRAPING STARTED =====
[2026-02-11T05:17:44.111+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:44,110 | INFO | Starting scrape for category: mobiles
[2026-02-11T05:17:45.378+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:45,378 | INFO | mobiles: Page 1/25
[2026-02-11T05:17:46.510+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:46,510 | INFO | mobiles: Page 2/25
[2026-02-11T05:17:47.203+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:47,203 | INFO | mobiles: Page 3/25
[2026-02-11T05:17:47.860+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:47,860 | INFO | mobiles: Page 4/25
[2026-02-11T05:17:48.540+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:48,539 | INFO | mobiles: Page 5/25
[2026-02-11T05:17:49.926+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:49,925 | INFO | mobiles: Page 6/25
[2026-02-11T05:17:51.204+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:51,204 | INFO | mobiles: Page 7/25
[2026-02-11T05:17:52.051+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:52,051 | INFO | mobiles: Page 8/25
[2026-02-11T05:17:53.566+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:53,565 | INFO | mobiles: Page 9/25
[2026-02-11T05:17:54.274+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:54,273 | INFO | mobiles: Page 10/25
[2026-02-11T05:17:54.962+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:54,962 | INFO | mobiles: Page 11/25
[2026-02-11T05:17:55.672+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:55,672 | INFO | mobiles: Page 12/25
[2026-02-11T05:17:56.382+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:56,382 | INFO | mobiles: Page 13/25
[2026-02-11T05:17:57.600+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:57,599 | INFO | mobiles: Page 14/25
[2026-02-11T05:17:58.363+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:58,362 | INFO | mobiles: Page 15/25
[2026-02-11T05:17:59.087+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:59,087 | INFO | mobiles: Page 16/25
[2026-02-11T05:17:59.905+0000] {subprocess.py:93} INFO - 2026-02-11 05:17:59,905 | INFO | mobiles: Page 17/25
[2026-02-11T05:18:00.552+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:00,551 | INFO | mobiles: Page 18/25
[2026-02-11T05:18:01.320+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:01,319 | INFO | mobiles: Page 19/25
[2026-02-11T05:18:04.139+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:04,139 | INFO | mobiles: Page 20/25
[2026-02-11T05:18:05.122+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:05,122 | INFO | mobiles: Page 21/25
[2026-02-11T05:18:05.996+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:05,995 | INFO | mobiles: Page 22/25
[2026-02-11T05:18:06.625+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:06,625 | INFO | mobiles: Page 23/25
[2026-02-11T05:18:07.332+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:07,331 | INFO | mobiles: Page 24/25
[2026-02-11T05:18:08.068+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:08,067 | INFO | mobiles: Page 25/25
[2026-02-11T05:18:08.827+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:08,827 | INFO | mobiles: Fetching reviews
[2026-02-11T05:18:30.233+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:30,233 | INFO | mobiles: Saved 750 rows to /opt/***/dags/data/raw/mobiles/mobiles_2026-02-11.csv
[2026-02-11T05:18:30.236+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:30,234 | INFO | Starting scrape for category: laptops
[2026-02-11T05:18:30.592+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:30,592 | INFO | laptops: Page 1/14
[2026-02-11T05:18:31.146+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:31,145 | INFO | laptops: Page 2/14
[2026-02-11T05:18:31.803+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:31,802 | INFO | laptops: Page 3/14
[2026-02-11T05:18:32.717+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:32,717 | INFO | laptops: Page 4/14
[2026-02-11T05:18:33.362+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:33,361 | INFO | laptops: Page 5/14
[2026-02-11T05:18:34.873+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:34,873 | INFO | laptops: Page 6/14
[2026-02-11T05:18:37.243+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:37,243 | INFO | laptops: Page 7/14
[2026-02-11T05:18:38.195+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:38,194 | INFO | laptops: Page 8/14
[2026-02-11T05:18:38.852+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:38,851 | INFO | laptops: Page 9/14
[2026-02-11T05:18:39.550+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:39,549 | INFO | laptops: Page 10/14
[2026-02-11T05:18:41.333+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:41,332 | INFO | laptops: Page 11/14
[2026-02-11T05:18:42.652+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:42,652 | INFO | laptops: Page 12/14
[2026-02-11T05:18:44.206+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:44,205 | INFO | laptops: Page 13/14
[2026-02-11T05:18:45.706+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:45,706 | INFO | laptops: Page 14/14
[2026-02-11T05:18:46.750+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:46,750 | INFO | laptops: Fetching reviews
[2026-02-11T05:18:55.599+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:55,598 | INFO | laptops: Saved 420 rows to /opt/***/dags/data/raw/laptops/laptops_2026-02-11.csv
[2026-02-11T05:18:55.607+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:55,598 | INFO | Starting scrape for category: television
[2026-02-11T05:18:55.968+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:55,967 | INFO | television: Page 1/7
[2026-02-11T05:18:56.441+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:56,440 | INFO | television: Page 2/7
[2026-02-11T05:18:57.946+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:57,945 | INFO | television: Page 3/7
[2026-02-11T05:18:59.776+0000] {subprocess.py:93} INFO - 2026-02-11 05:18:59,775 | INFO | television: Page 4/7
[2026-02-11T05:19:04.158+0000] {subprocess.py:93} INFO - 2026-02-11 05:19:04,157 | INFO | television: Page 5/7
[2026-02-11T05:19:05.653+0000] {subprocess.py:93} INFO - 2026-02-11 05:19:05,651 | INFO | television: Page 6/7
[2026-02-11T05:19:08.828+0000] {subprocess.py:93} INFO - 2026-02-11 05:19:08,827 | INFO | television: Page 7/7
[2026-02-11T05:19:10.459+0000] {subprocess.py:93} INFO - 2026-02-11 05:19:10,459 | INFO | television: Fetching reviews
[2026-02-11T05:19:21.133+0000] {subprocess.py:93} INFO - 2026-02-11 05:19:21,133 | INFO | television: Saved 210 rows to /opt/***/dags/data/raw/tvs/television_2026-02-11.csv
[2026-02-11T05:19:21.135+0000] {subprocess.py:93} INFO - 2026-02-11 05:19:21,133 | INFO | Starting scrape for category: refrigerator
[2026-02-11T05:19:22.154+0000] {subprocess.py:93} INFO - 2026-02-11 05:19:22,153 | INFO | refrigerator: Page 1/6
[2026-02-11T05:19:23.161+0000] {subprocess.py:93} INFO - 2026-02-11 05:19:23,160 | INFO | refrigerator: Page 2/6
[2026-02-11T05:19:24.367+0000] {subprocess.py:93} INFO - 2026-02-11 05:19:24,367 | INFO | refrigerator: Page 3/6
[2026-02-11T05:19:25.389+0000] {subprocess.py:93} INFO - 2026-02-11 05:19:25,388 | INFO | refrigerator: Page 4/6
[2026-02-11T05:19:25.997+0000] {subprocess.py:93} INFO - 2026-02-11 05:19:25,997 | INFO | refrigerator: Page 5/6
