[2026-02-11T05:47:01.009+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-11T05:47:01.885+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-11T05:46:54.593409+00:00 [queued]>
[2026-02-11T05:47:01.937+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-11T05:46:54.593409+00:00 [queued]>
[2026-02-11T05:47:01.941+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-11T05:47:02.023+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-11 05:46:54.593409+00:00
[2026-02-11T05:47:02.087+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=246) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-11T05:47:02.099+0000] {standard_task_runner.py:64} INFO - Started process 247 to run task
[2026-02-11T05:47:02.088+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'manual__2026-02-11T05:46:54.593409+00:00', '--job-id', '114', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmpowx3m24m']
[2026-02-11T05:47:02.102+0000] {standard_task_runner.py:91} INFO - Job 114: Subtask scrape_data
[2026-02-11T05:47:03.672+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data manual__2026-02-11T05:46:54.593409+00:00 [running]> on host 4662a8e9d10d
[2026-02-11T05:47:05.798+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-11T05:46:54.593409+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-11T05:46:54.593409+00:00'
[2026-02-11T05:47:05.805+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-11T05:47:06.165+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-11T05:47:06.171+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-11T05:47:06.248+0000] {subprocess.py:86} INFO - Output:
[2026-02-11T05:47:09.129+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:09,128 | INFO | ===== SCRAPING STARTED =====
[2026-02-11T05:47:09.130+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:09,128 | INFO | Starting scrape for category: mobiles
[2026-02-11T05:47:10.209+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:10,208 | INFO | mobiles: Page 1/25
[2026-02-11T05:47:11.695+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:11,694 | INFO | mobiles: Page 2/25
[2026-02-11T05:47:13.039+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:13,039 | INFO | mobiles: Page 3/25
[2026-02-11T05:47:13.724+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:13,723 | INFO | mobiles: Page 4/25
[2026-02-11T05:47:14.418+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:14,417 | INFO | mobiles: Page 5/25
[2026-02-11T05:47:15.244+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:15,244 | INFO | mobiles: Page 6/25
[2026-02-11T05:47:16.400+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:16,399 | INFO | mobiles: Page 7/25
[2026-02-11T05:47:17.134+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:17,134 | INFO | mobiles: Page 8/25
[2026-02-11T05:47:17.795+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:17,795 | INFO | mobiles: Page 9/25
[2026-02-11T05:47:18.473+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:18,472 | INFO | mobiles: Page 10/25
[2026-02-11T05:47:19.667+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:19,667 | INFO | mobiles: Page 11/25
[2026-02-11T05:47:20.538+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:20,538 | INFO | mobiles: Page 12/25
[2026-02-11T05:47:21.418+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:21,418 | INFO | mobiles: Page 13/25
[2026-02-11T05:47:22.098+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:22,097 | INFO | mobiles: Page 14/25
[2026-02-11T05:47:23.924+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:23,924 | INFO | mobiles: Page 15/25
[2026-02-11T05:47:25.828+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:25,827 | INFO | mobiles: Page 16/25
[2026-02-11T05:47:27.256+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:27,256 | INFO | mobiles: Page 17/25
[2026-02-11T05:47:28.509+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:28,509 | INFO | mobiles: Page 18/25
[2026-02-11T05:47:29.743+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:29,743 | INFO | mobiles: Page 19/25
[2026-02-11T05:47:31.156+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:31,155 | INFO | mobiles: Page 20/25
[2026-02-11T05:47:31.970+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:31,969 | INFO | mobiles: Page 21/25
[2026-02-11T05:47:32.635+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:32,634 | INFO | mobiles: Page 22/25
[2026-02-11T05:47:33.553+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:33,553 | INFO | mobiles: Page 23/25
[2026-02-11T05:47:34.491+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:34,490 | INFO | mobiles: Page 24/25
[2026-02-11T05:47:37.777+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:37,776 | INFO | mobiles: Page 25/25
[2026-02-11T05:47:38.419+0000] {subprocess.py:93} INFO - 2026-02-11 05:47:38,418 | INFO | mobiles: Fetching reviews
[2026-02-11T05:48:13.071+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:13,070 | INFO | mobiles: Saved 750 rows to /opt/***/dags/data/raw/mobiles/mobiles_2026-02-11.csv
[2026-02-11T05:48:13.073+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:13,072 | INFO | Starting scrape for category: laptops
[2026-02-11T05:48:14.580+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:14,580 | INFO | laptops: Page 1/14
[2026-02-11T05:48:15.903+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:15,903 | INFO | laptops: Page 2/14
[2026-02-11T05:48:16.822+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:16,821 | INFO | laptops: Page 3/14
[2026-02-11T05:48:17.604+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:17,603 | INFO | laptops: Page 4/14
[2026-02-11T05:48:19.003+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:19,002 | INFO | laptops: Page 5/14
[2026-02-11T05:48:20.655+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:20,655 | INFO | laptops: Page 6/14
[2026-02-11T05:48:22.039+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:22,039 | INFO | laptops: Page 7/14
[2026-02-11T05:48:23.299+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:23,298 | INFO | laptops: Page 8/14
[2026-02-11T05:48:24.265+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:24,264 | INFO | laptops: Page 9/14
[2026-02-11T05:48:25.921+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:25,920 | INFO | laptops: Page 10/14
[2026-02-11T05:48:26.899+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:26,898 | INFO | laptops: Page 11/14
[2026-02-11T05:48:27.537+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:27,537 | INFO | laptops: Page 12/14
[2026-02-11T05:48:28.174+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:28,173 | INFO | laptops: Page 13/14
[2026-02-11T05:48:29.267+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:29,266 | INFO | laptops: Page 14/14
[2026-02-11T05:48:30.771+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:30,770 | INFO | laptops: Fetching reviews
[2026-02-11T05:48:44.192+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:44,191 | INFO | laptops: Saved 420 rows to /opt/***/dags/data/raw/laptops/laptops_2026-02-11.csv
[2026-02-11T05:48:44.194+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:44,192 | INFO | Starting scrape for category: television
[2026-02-11T05:48:45.247+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:45,246 | INFO | television: Page 1/7
[2026-02-11T05:48:45.832+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:45,831 | INFO | television: Page 2/7
[2026-02-11T05:48:46.469+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:46,468 | INFO | television: Page 3/7
[2026-02-11T05:48:47.340+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:47,340 | INFO | television: Page 4/7
[2026-02-11T05:48:48.009+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:48,008 | INFO | television: Page 5/7
[2026-02-11T05:48:48.672+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:48,671 | INFO | television: Page 6/7
[2026-02-11T05:48:49.310+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:49,309 | INFO | television: Page 7/7
[2026-02-11T05:48:50.553+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:50,553 | INFO | television: Fetching reviews
[2026-02-11T05:48:55.874+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:55,873 | INFO | television: Saved 210 rows to /opt/***/dags/data/raw/tvs/television_2026-02-11.csv
[2026-02-11T05:48:55.875+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:55,874 | INFO | Starting scrape for category: refrigerator
[2026-02-11T05:48:56.491+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:56,491 | INFO | refrigerator: Page 1/6
[2026-02-11T05:48:57.428+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:57,428 | INFO | refrigerator: Page 2/6
[2026-02-11T05:48:58.362+0000] {subprocess.py:93} INFO - 2026-02-11 05:48:58,362 | INFO | refrigerator: Page 3/6
