[2026-02-11T06:34:39.901+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-11T06:34:40.434+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-11T06:34:35.116821+00:00 [queued]>
[2026-02-11T06:34:40.459+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-11T06:34:35.116821+00:00 [queued]>
[2026-02-11T06:34:40.463+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-11T06:34:40.509+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-11 06:34:35.116821+00:00
[2026-02-11T06:34:40.545+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'manual__2026-02-11T06:34:35.116821+00:00', '--job-id', '118', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmpuo0a0u4c']
[2026-02-11T06:34:40.550+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=748) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-11T06:34:40.554+0000] {standard_task_runner.py:91} INFO - Job 118: Subtask scrape_data
[2026-02-11T06:34:40.555+0000] {standard_task_runner.py:64} INFO - Started process 749 to run task
[2026-02-11T06:34:41.595+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data manual__2026-02-11T06:34:35.116821+00:00 [running]> on host 4662a8e9d10d
[2026-02-11T06:34:42.561+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-11T06:34:35.116821+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-11T06:34:35.116821+00:00'
[2026-02-11T06:34:42.566+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-11T06:34:42.892+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-11T06:34:42.917+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-11T06:34:42.992+0000] {subprocess.py:86} INFO - Output:
[2026-02-11T06:34:46.578+0000] {subprocess.py:93} INFO - 2026-02-11 06:34:46,578 | INFO | ===== SCRAPING STARTED =====
[2026-02-11T06:34:46.580+0000] {subprocess.py:93} INFO - 2026-02-11 06:34:46,578 | INFO | Starting scrape for category: mobiles
[2026-02-11T06:34:47.416+0000] {subprocess.py:93} INFO - 2026-02-11 06:34:47,416 | INFO | mobiles: Page 1/25
[2026-02-11T06:34:48.756+0000] {subprocess.py:93} INFO - 2026-02-11 06:34:48,755 | INFO | mobiles: Page 2/25
[2026-02-11T06:34:50.952+0000] {subprocess.py:93} INFO - 2026-02-11 06:34:50,952 | INFO | mobiles: Page 3/25
[2026-02-11T06:34:52.827+0000] {subprocess.py:93} INFO - 2026-02-11 06:34:52,827 | INFO | mobiles: Page 4/25
[2026-02-11T06:34:53.547+0000] {subprocess.py:93} INFO - 2026-02-11 06:34:53,546 | INFO | mobiles: Page 5/25
[2026-02-11T06:34:54.486+0000] {subprocess.py:93} INFO - 2026-02-11 06:34:54,486 | INFO | mobiles: Page 6/25
[2026-02-11T06:34:55.162+0000] {subprocess.py:93} INFO - 2026-02-11 06:34:55,161 | INFO | mobiles: Page 7/25
[2026-02-11T06:34:56.879+0000] {subprocess.py:93} INFO - 2026-02-11 06:34:56,878 | INFO | mobiles: Page 8/25
[2026-02-11T06:34:57.560+0000] {subprocess.py:93} INFO - 2026-02-11 06:34:57,559 | INFO | mobiles: Page 9/25
[2026-02-11T06:34:58.223+0000] {subprocess.py:93} INFO - 2026-02-11 06:34:58,223 | INFO | mobiles: Page 10/25
[2026-02-11T06:34:59.130+0000] {subprocess.py:93} INFO - 2026-02-11 06:34:59,130 | INFO | mobiles: Page 11/25
[2026-02-11T06:34:59.778+0000] {subprocess.py:93} INFO - 2026-02-11 06:34:59,778 | INFO | mobiles: Page 12/25
[2026-02-11T06:35:00.682+0000] {subprocess.py:93} INFO - 2026-02-11 06:35:00,681 | INFO | mobiles: Page 13/25
[2026-02-11T06:35:01.366+0000] {subprocess.py:93} INFO - 2026-02-11 06:35:01,365 | INFO | mobiles: Page 14/25
[2026-02-11T06:35:02.389+0000] {subprocess.py:93} INFO - 2026-02-11 06:35:02,388 | INFO | mobiles: Page 15/25
[2026-02-11T06:35:04.008+0000] {subprocess.py:93} INFO - 2026-02-11 06:35:04,007 | INFO | mobiles: Page 16/25
[2026-02-11T06:35:04.712+0000] {subprocess.py:93} INFO - 2026-02-11 06:35:04,712 | INFO | mobiles: Page 17/25
[2026-02-11T06:35:05.553+0000] {subprocess.py:93} INFO - 2026-02-11 06:35:05,553 | INFO | mobiles: Page 18/25
[2026-02-11T06:35:07.372+0000] {subprocess.py:93} INFO - 2026-02-11 06:35:07,372 | INFO | mobiles: Page 19/25
