[2026-02-11T07:35:04.030+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-11T07:35:05.343+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-11T07:34:57.633408+00:00 [queued]>
[2026-02-11T07:35:05.545+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data manual__2026-02-11T07:34:57.633408+00:00 [queued]>
[2026-02-11T07:35:05.549+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-11T07:35:05.793+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-11 07:34:57.633408+00:00
[2026-02-11T07:35:05.943+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=228) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-11T07:35:05.980+0000] {standard_task_runner.py:64} INFO - Started process 229 to run task
[2026-02-11T07:35:05.965+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'manual__2026-02-11T07:34:57.633408+00:00', '--job-id', '124', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmpje00drhd']
[2026-02-11T07:35:06.037+0000] {standard_task_runner.py:91} INFO - Job 124: Subtask scrape_data
[2026-02-11T07:35:06.985+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data manual__2026-02-11T07:34:57.633408+00:00 [running]> on host 5f7f8e84b8a0
[2026-02-11T07:35:08.453+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-11T07:34:57.633408+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-11T07:34:57.633408+00:00'
[2026-02-11T07:35:08.475+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-11T07:35:10.476+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-11T07:35:10.484+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-11T07:35:10.554+0000] {subprocess.py:86} INFO - Output:
[2026-02-11T07:35:13.720+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:13,720 | INFO | ===== SCRAPING STARTED =====
[2026-02-11T07:35:13.721+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:13,720 | INFO | Starting scrape for category: mobiles
[2026-02-11T07:35:14.509+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:14,508 | INFO | mobiles: Page 1/25
[2026-02-11T07:35:15.088+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:15,087 | INFO | mobiles: Page 2/25
[2026-02-11T07:35:15.729+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:15,728 | INFO | mobiles: Page 3/25
[2026-02-11T07:35:16.348+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:16,347 | INFO | mobiles: Page 4/25
[2026-02-11T07:35:16.978+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:16,977 | INFO | mobiles: Page 5/25
[2026-02-11T07:35:17.678+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:17,677 | INFO | mobiles: Page 6/25
[2026-02-11T07:35:18.304+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:18,303 | INFO | mobiles: Page 7/25
[2026-02-11T07:35:18.925+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:18,925 | INFO | mobiles: Page 8/25
[2026-02-11T07:35:19.568+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:19,568 | INFO | mobiles: Page 9/25
[2026-02-11T07:35:20.237+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:20,237 | INFO | mobiles: Page 10/25
[2026-02-11T07:35:20.840+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:20,839 | INFO | mobiles: Page 11/25
[2026-02-11T07:35:21.412+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:21,411 | INFO | mobiles: Page 12/25
[2026-02-11T07:35:21.972+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:21,972 | INFO | mobiles: Page 13/25
[2026-02-11T07:35:22.705+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:22,705 | INFO | mobiles: Page 14/25
[2026-02-11T07:35:23.386+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:23,386 | INFO | mobiles: Page 15/25
[2026-02-11T07:35:24.107+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:24,106 | INFO | mobiles: Page 16/25
[2026-02-11T07:35:24.830+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:24,830 | INFO | mobiles: Page 17/25
[2026-02-11T07:35:25.461+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:25,460 | INFO | mobiles: Page 18/25
[2026-02-11T07:35:26.111+0000] {subprocess.py:93} INFO - 2026-02-11 07:35:26,110 | INFO | mobiles: Page 19/25
