[2026-02-10T15:04:54.152+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-10T15:04:54.252+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data scheduled__2026-02-08T21:00:00+00:00 [queued]>
[2026-02-10T15:04:54.273+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: product_price_pipeline.scrape_data scheduled__2026-02-08T21:00:00+00:00 [queued]>
[2026-02-10T15:04:54.276+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-10T15:04:54.319+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): scrape_data> on 2026-02-08 21:00:00+00:00
[2026-02-10T15:04:54.357+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'product_price_pipeline', 'scrape_data', 'scheduled__2026-02-08T21:00:00+00:00', '--job-id', '95', '--raw', '--subdir', 'DAGS_FOLDER/product_pipeline_dag.py', '--cfg-path', '/tmp/tmp2xx85gku']
[2026-02-10T15:04:54.364+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=179) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-10T15:04:54.366+0000] {standard_task_runner.py:91} INFO - Job 95: Subtask scrape_data
[2026-02-10T15:04:54.367+0000] {standard_task_runner.py:64} INFO - Started process 180 to run task
[2026-02-10T15:04:54.604+0000] {task_command.py:426} INFO - Running <TaskInstance: product_price_pipeline.scrape_data scheduled__2026-02-08T21:00:00+00:00 [running]> on host 0d4fb0100b45
[2026-02-10T15:04:55.046+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='product_price_pipeline' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2026-02-08T21:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-08T21:00:00+00:00'
[2026-02-10T15:04:55.049+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-10T15:04:55.128+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-02-10T15:04:55.133+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'python /opt/***/dags/all_data.py']
[2026-02-10T15:04:55.157+0000] {subprocess.py:86} INFO - Output:
[2026-02-10T15:04:56.439+0000] {subprocess.py:93} INFO - 2026-02-10 15:04:56,438 | INFO | ===== SCRAPING STARTED =====
[2026-02-10T15:04:56.440+0000] {subprocess.py:93} INFO - 2026-02-10 15:04:56,438 | INFO | Starting scrape for category: mobiles
[2026-02-10T15:05:01.555+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:01,555 | INFO | mobiles: Page 1/25
[2026-02-10T15:05:03.346+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:03,346 | INFO | mobiles: Page 2/25
[2026-02-10T15:05:04.690+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:04,689 | INFO | mobiles: Page 3/25
[2026-02-10T15:05:05.678+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:05,677 | INFO | mobiles: Page 4/25
[2026-02-10T15:05:06.348+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:06,347 | INFO | mobiles: Page 5/25
[2026-02-10T15:05:07.237+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:07,237 | INFO | mobiles: Page 6/25
[2026-02-10T15:05:08.978+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:08,977 | INFO | mobiles: Page 7/25
[2026-02-10T15:05:09.696+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:09,695 | INFO | mobiles: Page 8/25
[2026-02-10T15:05:10.344+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:10,343 | INFO | mobiles: Page 9/25
[2026-02-10T15:05:11.353+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:11,353 | INFO | mobiles: Page 10/25
[2026-02-10T15:05:12.991+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:12,991 | INFO | mobiles: Page 11/25
[2026-02-10T15:05:13.653+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:13,652 | INFO | mobiles: Page 12/25
[2026-02-10T15:05:14.280+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:14,279 | INFO | mobiles: Page 13/25
[2026-02-10T15:05:15.975+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:15,974 | INFO | mobiles: Page 14/25
[2026-02-10T15:05:16.977+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:16,976 | INFO | mobiles: Page 15/25
[2026-02-10T15:05:17.684+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:17,680 | INFO | mobiles: Page 16/25
[2026-02-10T15:05:18.485+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:18,484 | INFO | mobiles: Page 17/25
[2026-02-10T15:05:19.392+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:19,391 | INFO | mobiles: Page 18/25
[2026-02-10T15:05:20.078+0000] {subprocess.py:93} INFO - 2026-02-10 15:05:20,078 | INFO | mobiles: Page 19/25
